unique_match_id,match_date,season_year,tour_type_human,surface,round,tournament,home_id,home_name,away_id,away_name,home_rank,away_rank,winner_code,home_win
90336553_2024_2,2024-10-31 20:15:00,2024,Wta Tour,Hard,1/8-Finals,Merida WTA,146026,Stojanovic N.,420409,Stakusic M.,,,1.0,1
73701392_2024_4,2024-10-31 21:15:00,2024,Wta Chall,Clay,1/8-Finals,Santa Cruz Chall. Women,384199,Todoni A. A.,169028,Branstine C.,,,1.0,1
51156856_2024_4,2024-10-31 22:20:00,2024,Wta Chall,Clay,1/8-Finals,Santa Cruz Chall. Women,602501,Strakhova V.,944663,Paquet C.,,,2.0,0
85422039_2024_4,2024-10-31 23:00:00,2024,Wta Chall,Clay,1/8-Finals,Santa Cruz Chall. Women,534553,Lodikova D.,885767,Riera J.,,,2.0,0
87432543_2024_2,2024-11-01 02:50:00,2024,Wta Tour,Hard,1/8-Finals,Merida WTA,973113,Jacquemot E.,337480,Sonmez Z.,,,2.0,0
37190617_2024_2,2024-11-01 03:00:00,2024,Wta Tour,Hard,1/8-Finals,Merida WTA,647835,Stefanini L.,355591,Sorribes Tormo S.,,,2.0,0
35712008_2024_2,2024-11-01 04:05:00,2024,Wta Tour,Hard,Quarter-Finals,Jiujiang WTA,988932,Golubic V.,342785,Rus A.,,,1.0,1
74162983_2024_2,2024-11-01 04:35:00,2024,Wta Tour,Hard,1/8-Finals,Merida WTA,988957,Zarazua R.,679599,Chwalinska M.,,,1.0,1
83802935_2024_2,2024-11-01 06:10:00,2024,Wta Tour,Hard,Quarter-Finals,Hong Kong WTA,803486,Yuan Y.,549141,Kenin S.,,,1.0,1
43087603_2024_2,2024-11-01 07:45:00,2024,Wta Tour,Hard,Quarter-Finals,Hong Kong WTA,926087,Zakharova A.,970027,Boulter K.,,,2.0,0
61022108_2024_2,2024-11-01 07:50:00,2024,Wta Tour,Hard,Quarter-Finals,Jiujiang WTA,357952,Trevisan M.,123538,Sramkova R.,,,2.0,0
28756479_2024_2,2024-11-01 09:55:00,2024,Wta Tour,Hard,Quarter-Finals,Jiujiang WTA,369605,Bouzkova M.,568609,Rakhimova K.,,,1.0,1
67246420_2024_2,2024-11-01 10:40:00,2024,Wta Tour,Hard,Quarter-Finals,Hong Kong WTA,425446,Shnaider D.,689373,Lamens S.,,,1.0,1
62632416_2024_2,2024-11-01 11:35:00,2024,Wta Tour,Hard,Quarter-Finals,Jiujiang WTA,216676,Sawangkaew M.,685811,Siegemund L.,,,2.0,0
87790176_2024_2,2024-11-01 12:50:00,2024,Wta Tour,Hard,Quarter-Finals,Hong Kong WTA,914953,Fernandez L.,557676,Pera B.,,,1.0,1
69227977_2024_4,2024-11-01 19:05:00,2024,Wta Chall,Clay,Quarter-Finals,Santa Cruz Chall. Women,605419,Wuerth T.,416641,Udvardy P.,,,2.0,0
81271629_2024_2,2024-11-01 19:10:00,2024,Wta Tour,Hard,1/8-Finals,Merida WTA,914707,Korneeva A.,126226,Blinkova A.,,,1.0,1
93318698_2024_4,2024-11-01 19:10:00,2024,Wta Chall,Clay,Quarter-Finals,Santa Cruz Chall. Women,741705,Arango E.,275150,Romero Gormaz L.,,,1.0,1
96632231_2024_2,2024-11-01 20:10:00,2024,Wta Tour,Hard,Quarter-Finals,Merida WTA,619460,Li A.,920327,Teichmann J.,,,1.0,1
84238366_2024_4,2024-11-01 21:10:16,2024,Wta Chall,Clay,Quarter-Finals,Santa Cruz Chall. Women,384199,Todoni A. A.,944663,Paquet C.,,,1.0,1
48523888_2024_2,2024-11-01 22:40:00,2024,Wta Tour,Hard,Quarter-Finals,Merida WTA,988957,Zarazua R.,337480,Sonmez Z.,,,2.0,0
67882336_2024_4,2024-11-01 22:50:35,2024,Wta Chall,Clay,Quarter-Finals,Santa Cruz Chall. Women,762933,Semenistaja D.,885767,Riera J.,,,1.0,1
66978180_2024_2,2024-11-02 01:30:00,2024,Wta Tour,Hard,Quarter-Finals,Merida WTA,146026,Stojanovic N.,824108,Kudermetova P.,,,2.0,0
54312765_2024_2,2024-11-02 04:20:00,2024,Wta Tour,Hard,Quarter-Finals,Merida WTA,355591,Sorribes Tormo S.,914707,Korneeva A.,,,2.0,0
42645637_2024_2,2024-11-02 06:00:00,2024,Wta Tour,Hard,Semi-Finals,Hong Kong WTA,803486,Yuan Y.,970027,Boulter K.,,,2.0,0
