unique_match_id,player_id,opponent_id,player_rank,opponent_rank,surface,season_year,match_date,tour_type_human,won,player_name,opponent_name
45474978_2024_3,623039,128021,388.0,389.0,Clay,2024,2024-08-08 17:35:00,Atp Chall,0,Schwaerzler J. J.,Bonadio R.
28184417_2024_1,945948,981922,10.0,74.0,Hard,2024,2024-08-08 17:40:00,Atp Tour,1,Dimitrov G.,Hijikata R.
45253930_2024_3,119592,313667,119.0,206.0,Hard,2024,2024-08-08 18:10:00,Atp Chall,0,Eubanks C.,Fearnley J.
16747358_2024_3,960280,500155,533.0,171.0,Hard,2024,2024-08-08 18:10:00,Atp Chall,0,Pinnington Jones J.,Wong C.
22263450_2024_1,764898,536679,46.0,22.0,Hard,2024,2024-08-08 18:15:00,Atp Tour,1,Arnaldi M.,Khachanov K.
55023275_2024_1,529271,656194,9.0,80.0,Hard,2024,2024-08-08 18:35:00,Atp Tour,1,Ruud C.,Duckworth J.
83285019_2024_1,225761,663803,1.0,94.0,Hard,2024,2024-08-08 18:55:00,Atp Tour,1,Sinner J.,Coric B.
24343578_2024_1,415691,771361,17.0,799.0,Hard,2024,2024-08-08 19:00:00,Atp Tour,1,Rune H.,Carreno-Busta P.
38436847_2024_1,338460,791426,62.0,14.0,Hard,2024,2024-08-08 20:25:00,Atp Tour,1,Popyrin A.,Shelton B.
16815514_2024_1,811036,556041,57.0,21.0,Hard,2024,2024-08-08 20:25:00,Atp Tour,0,Sonego L.,Tabilo A.
18352595_2024_3,289341,111002,190.0,791.0,Hard,2024,2024-08-08 20:25:00,Atp Chall,1,Tu L.,Baris O.
94646292_2024_3,989024,333059,631.0,296.0,Hard,2024,2024-08-08 23:40:00,Atp Chall,0,Smith C.,Mayo A.
46237515_2024_3,808126,574441,223.0,281.0,Clay,2024,2024-08-09 10:40:00,Atp Chall,0,Choinski J.,Landaluce M.
54961772_2024_3,624813,686469,130.0,209.0,Clay,2024,2024-08-09 11:10:00,Atp Chall,1,Dellien H.,Hemery C.
12252517_2024_3,218850,825354,257.0,359.0,Clay,2024,2024-08-09 11:10:00,Atp Chall,0,Collarini A.,Paulson A.
39506545_2024_3,594536,930526,169.0,315.0,Clay,2024,2024-08-09 12:10:00,Atp Chall,1,Hassan B.,Svrcina D.
97229065_2024_3,783363,337733,221.0,294.0,Clay,2024,2024-08-09 14:05:00,Atp Chall,1,Gaubas V.,Giustino L.
78105196_2024_3,341854,137843,185.0,113.0,Clay,2024,2024-08-09 15:05:00,Atp Chall,0,Squire H.,Marterer M.
98981625_2024_3,550326,341458,243.0,138.0,Clay,2024,2024-08-09 15:10:00,Atp Chall,1,Mena F.,Bagnis F.
19377482_2024_3,262073,847354,250.0,290.0,Clay,2024,2024-08-09 16:20:00,Atp Chall,0,Arnaboldi F.,Blockx A.
84649241_2024_3,210284,895281,273.0,423.0,Clay,2024,2024-08-09 16:40:00,Atp Chall,0,Ficovich J. P.,Sell K.
73545225_2024_3,429614,392013,202.0,134.0,Hard,2024,2024-08-09 17:10:00,Atp Chall,0,Schoolkate T.,Bu Y.
87070607_2024_3,128021,251549,389.0,298.0,Clay,2024,2024-08-09 18:15:00,Atp Chall,0,Bonadio R.,Taberner C.
15305761_2024_3,313667,333059,206.0,296.0,Hard,2024,2024-08-09 19:20:00,Atp Chall,1,Fearnley J.,Mayo A.
60033904_2024_3,684679,396168,187.0,260.0,Clay,2024,2024-08-09 20:00:00,Atp Chall,0,Popko D.,Mejia N.
99359236_2024_3,735755,162333,356.0,237.0,Clay,2024,2024-08-09 20:25:00,Atp Chall,1,Alves M.,Tomic B.
